asset,baseline_excess_vs_bh_pct,baseline_max_dd_pct,baseline_return_pct,bh_max_drawdown_pct,bh_return_pct,blocked_reason,calmar_like,candle_count,compare,cost_drag_pct,crowding_overlay,data_ok,drawdown_reduction_vs_bh,fee_bps,max_drawdown_pct,overlay,overlay_excess_vs_bh_pct,overlay_max_dd_pct,overlay_return_pct,risk_adjusted_alpha,run_id,sharpe_ratio,strategy,time_in_market_pct,timeframe,total_return_pct,trade_count,turnover_ratio,ulcer_index,variant,verdict
BTC,,26.11386277448312,30.873861483386918,,,,,,"{'dd_reduction_pp': 0.0, 'return_delta_pct': 0.0, 'improved_risk_only': False, 'improved_alpha': False}",,on,True,,,,,,26.11386277448312,30.873861483386918,,,,trend_following,,4h,,,,,slow,weak
BTC,,8.201257887012611,8.050199948175532,,,,,,"{'dd_reduction_pp': -3.4433, 'return_delta_pct': -5.155, 'improved_risk_only': False, 'improved_alpha': False}",,on,True,,,,,,11.644514449679425,2.895192888103588,,,,trend_following,,4h,,,,,baseline,kill
BTC,,26.311635605168426,33.018166944345786,,,,,,"{'dd_reduction_pp': 0.0, 'return_delta_pct': 0.0, 'improved_risk_only': False, 'improved_alpha': False}",,on,True,,,,,,26.311635605168426,33.018166944345786,,,,ema_crossover,,4h,,,,,baseline,weak
BTC,,15.544028230935986,0.9977884131064115,,,,,,"{'dd_reduction_pp': -4.5753, 'return_delta_pct': -1.8005, 'improved_risk_only': False, 'improved_alpha': False}",,on,True,,,,,,20.119324980808045,-0.8027323525890097,,,,donchian_breakout,,4h,,,,,baseline,weak
BTC,,,,26.141,19.3442,derivatives cache missing,0.8984,1831,,99.99999999999852,blocked_data,True,-2.294,40.0,28.43497623373892,off,,,,0.2181,BTC_1d_trend_following_slow_off,0.3006470652292528,trend_following,98.93,1d,25.547223523472756,1,0.2501,15.6783,slow,blocked_data
BTC,,,,26.141,19.3442,derivatives cache missing,-0.0192,1831,,99.99999999999741,blocked_data,True,8.7748,40.0,17.366186687153014,off,,,,-1.1331,BTC_1d_trend_following_baseline_off,0.019942792691871162,trend_following,12.64,1d,-0.33372450720835334,2,0.4989,14.083,baseline,blocked_data
BTC,,,,26.141,19.3442,derivatives cache missing,0.9297,1831,,100.00000000000104,blocked_data,True,-2.7551,40.0,28.896104869911998,off,,,,0.2603,BTC_1d_ema_crossover_baseline_off,0.30812190905699743,ema_crossover,97.51,1d,26.866108667583283,1,0.2501,15.9221,baseline,blocked_data
BTC,,,,26.141,19.3442,derivatives cache missing,0.9923,1831,,100.00000000000104,blocked_data,True,-3.6813,40.0,29.822291454692895,off,,,,0.3437,BTC_1d_donchian_breakout_baseline_off,0.3234182335969331,donchian_breakout,97.24,1d,29.593631449828173,1,0.2501,16.4107,baseline,blocked_data
ETH,,26.66325718745734,4.239252645567672,,,,,,"{'dd_reduction_pp': 0.0, 'return_delta_pct': 3.2496, 'improved_risk_only': False, 'improved_alpha': True}",,on,True,,,,,,26.66325718745734,7.488864631681282,,,,trend_following,,4h,,,,,slow,overlay_only
ETH,,22.293072467052415,-1.1806740988652222,,,,,,"{'dd_reduction_pp': 6.6499, 'return_delta_pct': 11.0227, 'improved_risk_only': False, 'improved_alpha': True}",,on,True,,,,,,15.643160134091538,9.842023976965697,,,,trend_following,,4h,,,,,baseline,overlay_only
ETH,,23.01311508494842,-7.370180015594087,,,,,,"{'dd_reduction_pp': 8.0121, 'return_delta_pct': 2.1913, 'improved_risk_only': False, 'improved_alpha': True}",,on,True,,,,,,15.000971761476334,-5.178918659318185,,,,ema_crossover,,4h,,,,,baseline,overlay_only
ETH,,20.94463153086481,-4.367666386845599,,,,,,"{'dd_reduction_pp': -0.2256, 'return_delta_pct': -0.5482, 'improved_risk_only': False, 'improved_alpha': False}",,on,True,,,,,,21.17021216362119,-4.915862908892894,,,,donchian_breakout,,4h,,,,,baseline,weak
ETH,,,,26.0428,-8.8915,derivatives cache missing,-0.1342,1831,,99.99999999999679,blocked_data,True,-3.6529,40.0,29.695621842390867,off,,,,0.1652,ETH_1d_trend_following_slow_off,0.021885023484611105,trend_following,91.41,1d,-3.9855076630818984,5,1.2436,18.4894,slow,blocked_data
ETH,,,,26.0428,-8.8915,derivatives cache missing,-0.1551,1831,,99.99999999999852,blocked_data,True,-4.1771,40.0,30.21986086852851,off,,,,0.1391,ETH_1d_trend_following_baseline_off,0.025158212760746042,trend_following,98.43,1d,-4.6878550523028935,1,0.2501,18.5244,baseline,blocked_data
ETH,,,,26.0428,-8.8915,derivatives cache missing,-0.06,1831,,100.00000000000608,blocked_data,True,-6.5566,40.0,32.59933440276795,off,,,,0.2127,ETH_1d_ema_crossover_baseline_off,0.06075208308084218,ema_crossover,97.45,1d,-1.9570894413543785,1,0.2501,19.9829,baseline,blocked_data
ETH,,,,26.0428,-8.8915,derivatives cache missing,-0.1113,1831,,100.00000000000104,blocked_data,True,-5.2555,40.0,31.298207817577296,off,,,,0.1728,ETH_1d_donchian_breakout_baseline_off,0.04165456235414411,donchian_breakout,96.96,1d,-3.4838499784711305,1,0.2501,19.1853,baseline,blocked_data
